delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,0,0,space,2.808476125006564,None,1,1,[3.273820333997719],[3.273828584002331],0,0,0,5,0.03276579198427498,,0.018086500000208616,0.03276579198427498,1.0018434589728713,1.0018434589728713,1.0219712500693277,3.8123706670012325,space,2.808476125006564,None,3.814585042069666,4.519499333637456,4.858299709041603,4.81785245903302,4.821306584053673,4.858299709041603,4.858299709041603,4.858299709041603,8.132409500074573,1,1,[3.273820333997719],[3.273828584002331],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,400,unexp,1,1,0,space,1.3472197089577094,None,2,1,[3.6767774999607354],[3.6767812080215663],0,1,1,1,8.136573791969568,,8.13274191704113,8.136573791969568,9.121772167040035,9.121772167040035,9.125911792041734,10.475206583971158,space,1.3472197089577094,None,10.47711012500804,10.883721458671305,11.186402625055052,11.171619249973446,11.173837875016034,11.186402625055052,11.186402625055052,11.186402625055052,14.863353374996223,2,1,[3.6767774999607354],[3.6767812080215663],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,2,2,0,space,0.27298020909074694,None,100,1,[4.259755749953911],[4.2597590839723125],0,2,2,11,14.867663750075735,,14.863518750062212,14.867663750075735,15.863054334069602,15.863054334069602,15.863054334069602,16.141272166976705,space,0.27298020909074694,None,16.142853750032373,16.84139608365173,17.150402209023014,17.13602645904757,17.138765249983408,17.150402209023014,17.150402209023014,17.150402209023014,21.410314499982633,100,1,[4.259755749953911],[4.2597590839723125],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,3,3,0,space,0.32585666701197624,None,200,1,[2.9636577910277992],[2.9636612080503255],0,3,3,7,21.42216079204809,,21.410481916973367,21.42216079204809,22.40689841704443,22.40689841704443,22.412317750044167,22.735908125061542,space,0.32585666701197624,None,22.73776683397591,23.138047708726177,23.447996834060177,23.43505470897071,23.436960999970324,23.447996834060177,23.447996834060177,23.447996834060177,26.41183529200498,200,1,[2.9636577910277992],[2.9636612080503255],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,400,unexp,4,4,0,space,1.0900977920973673,None,300,1,[2.3108982919948176],[2.310902125085704],0,4,4,2,26.422980166971684,,26.41202270903159,26.422980166971684,27.401661209063604,27.401661209063604,27.419424541993067,28.49423954205122,space,1.0900977920973673,None,28.495917542022653,29.20628429163868,29.518305500037968,29.504370584036224,29.50605375005398,29.518305500037968,29.518305500037968,29.518305500037968,31.829376416979358,300,1,[2.3108982919948176],[2.310902125085704],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,5,5,0,space,2.626172792050056,None,500,1,[6.906721249921247],[6.9067246249178424],0,5,5,3,31.834262749995105,,31.829546375083737,31.834262749995105,32.828434208990075,32.828434208990075,32.828434208990075,35.460365709033795,space,2.626172792050056,None,35.4624016250018,35.56443004165,35.863258584053256,35.85197075002361,35.85364600003231,35.863258584053256,35.863258584053256,35.863258584053256,42.77015408407897,500,1,[6.906721249921247],[6.9067246249178424],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,400,unexp,6,6,0,space,1.1358145840931684,None,3,1,[4.535332208033651],[4.535335666034371],0,6,6,0,42.78124154207762,,42.77030337497126,42.78124154207762,43.75951787503436,43.75951787503436,43.77474016707856,44.89797704201192,space,1.1358145840931684,None,44.899738874984905,44.99933133373658,45.301321709062904,45.28813825000543,45.28949666698463,45.301321709062904,45.301321709062904,45.301321709062904,49.836825374979526,3,1,[4.535332208033651],[4.535335666034371],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,7,7,0,space,1.3715764589142054,None,200,1,[4.551840791944414],[4.551844457979314],0,7,7,4,49.84775741701014,,49.836982875014655,49.84775741701014,50.8315673340112,50.8315673340112,50.8362971249735,52.21540329197887,space,1.3715764589142054,None,52.2168597090058,52.623380500652516,52.93294362502638,52.921046250034124,52.922889709006995,52.93294362502638,52.93294362502638,52.93294362502638,57.48495570907835,200,1,[4.551840791944414],[4.551844457979314],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,8,8,0,space,1.666472667013295,None,600,1,[10.393726000096649],[10.393729209084995],0,8,8,9,57.494706625002436,,57.48512974998448,57.494706625002436,58.48051841708366,58.48051841708366,58.485119667020626,60.16152625007089,space,1.666472667013295,None,60.16315975005273,60.27376516670144,60.575754709076136,60.56057575007435,60.56253850006033,60.575754709076136,60.575754709076136,60.575754709076136,70.96965724998154,600,1,[10.393726000096649],[10.393729209084995],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,9,9,0,space,0.4022256250027567,None,2,1,[2.2354850829578936],[2.2354887910187244],0,9,9,8,70.97985820902977,,70.96981591708027,70.97985820902977,71.95936779200565,71.95936779200565,71.97663691698108,72.37516529206187,space,0.4022256250027567,None,72.37747566704638,73.07735391665871,73.38486929202918,73.3708642499987,73.37272633402608,73.38486929202918,73.38486929202918,73.38486929202918,75.6205290419748,2,1,[2.2354850829578936],[2.2354887910187244],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,10,10,0,space,0.41890825098380446,None,0,1,[5.834845208097249],[5.83484883303754],0,10,10,6,75.62704533408396,,75.62069025007077,75.62704533408396,76.6136197920423,76.6136197920423,76.6169316250598,77.03584695898462,space,0.41890825098380446,None,77.0373942500446,77.14817487571078,77.45200691698119,77.43737562501337,77.4392678750446,77.45200691698119,77.45200691698119,77.45200691698119,83.28703395905904,0,1,[5.834845208097249],[5.83484883303754],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,11,11,0,space,0.3714964999817312,None,10,1,[5.18248554202728],[5.182489084079862],0,11,11,10,83.29819175007287,,83.28718512505293,83.29819175007287,84.28583504201379,84.28583504201379,84.28583504201379,84.65916829206981,space,0.3714964999817312,None,84.65961824997794,85.06721720873999,85.37111100007314,85.35862270905636,85.36046691704541,85.37111100007314,85.37111100007314,85.37111100007314,90.55377950007096,10,1,[5.18248554202728],[5.182489084079862],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,12,0,1,space,0.5364511669613421,None,100,1,[3.282552874996327],[3.2825563750229776],1,0,12,3,90.56475579203106,,90.55392783402931,90.56475579203106,91.55279929202516,91.55279929202516,91.55279929202516,92.0940343340626,space,0.5364511669613421,None,92.09565520903561,92.1982979167408,92.50660316704307,92.49309395905584,92.49481337505858,92.50660316704307,92.50660316704307,92.50660316704307,95.7893250840716,100,1,[3.282552874996327],[3.2825563750229776],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,13,1,1,space,1.399204917019233,None,200,1,[7.8694282079814],[7.869435374974273],1,1,13,8,95.79235362506006,,95.78948712500278,95.79235362506006,96.77681325003505,96.77681325003505,96.78986733406782,98.1905312089948,space,1.399204917019233,None,98.19208758405875,98.89844575064878,99.20080204203259,99.18593470903579,99.18780912505463,99.20080204203259,99.20080204203259,99.20080204203259,107.07042116706725,200,1,[7.8694282079814],[7.869435374974273],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,14,2,1,space,0.06615012499969453,None,300,1,[6.374265374965034],[6.374268666957505],1,2,14,5,107.08140962501056,,107.07061466702726,107.08140962501056,108.05966508400161,108.05966508400161,108.07594637502916,108.13253045897,space,0.06615012499969453,None,108.1340477920603,108.84178187564636,109.14404929208104,109.12994495907333,109.13190820906311,109.14404929208104,109.14404929208104,109.14404929208104,115.51849787507672,300,1,[6.374265374965034],[6.374268666957505],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,400,unexp,15,3,1,space,1.1384441669797525,None,350,1,[3.8282449999824166],[3.828248832956888],1,3,15,0,115.52849887497723,,115.51866925007198,115.52849887497723,116.51609791698866,116.51609791698866,116.52116716699675,117.65675125003327,space,1.1384441669797525,None,117.65755574998911,117.76768616674623,118.0781341670081,118.06318104197271,118.06530062505044,118.0781341670081,118.0781341670081,118.0781341670081,121.90655412501656,350,1,[3.8282449999824166],[3.828248832956888],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,16,4,1,space,0.1964627499692142,None,400,1,[2.7911734170047566],[2.791177124949172],1,4,16,7,121.90890016697813,,121.90670933399815,121.90890016697813,122.90096491703298,122.90096491703298,122.90096491703298,123.1022052919725,space,0.1964627499692142,None,123.10368987498805,123.50374441669943,123.81019583402667,123.79564849997405,123.79792462498881,123.81019583402667,123.81019583402667,123.81019583402667,126.60154129203875,400,1,[2.7911734170047566],[2.791177124949172],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,17,5,1,space,0.8722237499896437,None,550,1,[6.0193972090492025],[6.01940333400853],1,5,17,10,126.61311400006525,,126.60170920903329,126.61311400006525,127.59710150002502,127.59710150002502,127.60171233396977,128.4764181249775,space,0.8722237499896437,None,128.47788445907645,128.8778424587256,129.1905916670803,129.1775387499947,129.17941774998326,129.1905916670803,129.1905916670803,129.1905916670803,135.2101567920763,550,1,[6.0193972090492025],[6.01940333400853],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,18,6,1,space,0.48170512495562434,None,400,1,[3.226158499950543],[3.226161374943331],1,6,18,11,135.22110583400354,,135.21032087504864,135.22110583400354,136.20740141707938,136.20740141707938,136.21238937508315,136.69413533399347,space,0.48170512495562434,None,136.69570579205174,137.40525283367995,137.71709525003098,137.70300904207397,137.7051293340046,137.71709525003098,137.71709525003098,137.71709525003098,140.94343354203738,400,1,[3.226158499950543],[3.226161374943331],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,19,7,1,space,0.4820640420075506,None,600,1,[3.668618333991617],[3.6686212500790134],1,7,19,9,140.9541146249976,,140.94360400002915,140.9541146249976,141.93493312504143,141.93493312504143,141.9529834589921,142.42384000006132,space,0.4820640420075506,None,142.42529912502505,142.52472291671828,142.8325064589735,142.81760495901108,142.81923495908268,142.8325064589735,142.8325064589735,142.8325064589735,146.5013105000835,600,1,[3.668618333991617],[3.6686212500790134],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,20,8,1,space,0.358487542020157,None,700,1,[3.312325375038199],[3.3123283750610426],1,8,20,6,146.51151008403394,,146.50148575007915,146.51151008403394,147.4943505000556,147.4943505000556,147.50752341700718,147.86784154199995,space,0.358487542020157,None,147.86979458399583,147.97430750070296,148.28361233405303,148.2683175840648,148.2704697920708,148.28361233405303,148.28361233405303,148.28361233405303,151.59611024998594,700,1,[3.312325375038199],[3.3123283750610426],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,400,unexp,21,9,1,space,0.7864612920675427,None,300,1,[2.2399672080064192],[2.239970082999207],1,9,21,1,151.60057608399075,,151.59625145897735,151.60057608399075,152.5852312920615,152.5852312920615,152.5977989169769,153.37694987503346,space,0.7864612920675427,None,153.37895816704258,153.78303941671427,154.08855241700076,154.07454670907464,154.07588616700377,154.08855241700076,154.08855241700076,154.08855241700076,156.32868662499823,300,1,[2.2399672080064192],[2.239970082999207],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,400,unexp,22,10,1,space,0.5220058759441599,None,50,1,[1.1425071249250323],[1.1425099580083042],1,10,22,2,156.34082645899616,,156.32882829208393,156.34082645899616,157.32862975005992,157.32862975005992,157.32862975005992,157.85568670905195,space,0.5220058759441599,None,157.857496874989,158.55787895870552,158.86321250000037,158.8488816670142,158.85061679198407,158.86321250000037,158.86321250000037,158.86321250000037,160.00589350005612,50,1,[1.1425071249250323],[1.1425099580083042],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,23,11,1,space,1.7188659169478342,None,400,1,[3.926872833049856],[3.9268755830125883],1,11,23,4,160.0083379590651,,160.0060552500654,160.0083379590651,160.99363529204857,160.99363529204857,161.00667220901232,162.71649412508123,space,1.7188659169478342,None,162.71816995902918,163.11757679173414,163.41904962505214,163.40523937507533,163.40738066704944,163.41904962505214,163.41904962505214,163.41904962505214,167.3460893749725,400,1,[3.926872833049856],[3.9268755830125883],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,24,0,2,space,0.4815708340611309,None,150,1,[7.8068209999473765],[7.80682399997022],2,0,24,11,167.35032545903232,,167.34623100003228,167.35032545903232,168.3377943340456,168.3377943340456,168.34256045904476,168.83426295907702,space,0.4815708340611309,None,168.83599416702054,169.53368137573514,169.8363437090302,169.82139491697308,169.82329670898616,169.8363437090302,169.8363437090302,169.8363437090302,177.64334270905238,150,1,[7.8068209999473765],[7.80682399997022],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,25,1,2,space,0.7217381669906899,None,450,1,[2.1747921670321375],[2.17479512502905],2,1,25,8,177.65273783402517,,177.64350595907308,177.65273783402517,178.63429700001143,178.63429700001143,178.65356970904395,179.3673323750263,space,0.7217381669906899,None,179.36894125002436,180.07550500071764,180.38061137497425,180.36562091705855,180.36775112501346,180.38061137497425,180.38061137497425,180.38061137497425,182.5555791669758,450,1,[2.1747921670321375],[2.17479512502905],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,26,2,2,space,0.7663451259722933,None,400,1,[2.855581042007543],[2.8555842919740826],2,2,26,4,182.5588537500007,,182.55573737504892,182.5588537500007,183.5546805000631,183.5546805000631,183.5546805000631,184.3269116670126,space,0.7663451259722933,None,184.32848329201806,184.72752862569567,185.042471459019,185.027699709055,185.02958033408504,185.042471459019,185.042471459019,185.042471459019,187.89824241702445,400,1,[2.855581042007543],[2.8555842919740826],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,27,3,2,space,0.6072861249558628,None,650,1,[3.5316751250065863],[3.5316784160677344],2,3,27,6,187.90069920907263,,187.89841245906428,187.90069920907263,188.8965124170063,188.8965124170063,188.8965124170063,189.51658595900517,space,0.6072861249558628,None,189.518399166991,189.6233722087384,189.93673179205507,189.92154716700315,189.9238467500545,189.93673179205507,189.93673179205507,189.93673179205507,193.46859725005925,650,1,[3.5316751250065863],[3.5316784160677344],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
