poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.005387874902226031,0.005436207982711494,,,,,,,,,,,,,,,,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,0,0,0,x,1,3.653981374925934,None,0,0,0,0,,,,,0.015011166920885444,,,,0.011247332906350493,0.015011166920885444,1.0098453749669716,1.0098453749669716,1.0098453749669716,1.0098453749669716,1.0136687499471009,1.9967739579733461,1.9967739579733461,2.987756499904208,5.853163416963071,x,1,3.653981374925934,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,1,1,0,v,1,0.9564311669673771,None,0,1,1,1,,,,,5.859999124892056,,,,5.853344124974683,5.859999124892056,6.84568516688887,6.84568516688887,6.84568516688887,6.84568516688887,6.851115791941993,7.852234832942486,7.852234832942486,,8.812821291969158,v,1,0.9564311669673771,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,2,2,0,c,0,0.6360968339722604,None,0,2,2,2,,,,,8.820211207959801,,,,8.813280791975558,8.820211207959801,9.806951082893647,9.806951082893647,9.806951082893647,9.806951082893647,9.812459249980748,10.812521541956812,10.812521541956812,,11.450568249914795,c,0,0.6360968339722604,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,3,3,0,z,1,0.6734013330424204,None,0,3,3,3,,,,,11.459214999922551,,,,11.451454082969576,11.459214999922551,12.446301457937807,12.446301457937807,12.446301457937807,12.446301457937807,12.45067087491043,13.443146082921885,13.443146082921885,,14.119849082897417,z,1,0.6734013330424204,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,4,0,1,x,1,0.6579455840401351,None,1,0,4,0,,,,,14.12481349997688,,,,14.120033624931239,14.12481349997688,15.113948874990456,15.113948874990456,15.113948874990456,15.113948874990456,15.113948874990456,16.11154320789501,16.11154320789501,,16.779620124958456,x,1,0.6579455840401351,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,5,1,1,v,1,0.7225947079714388,None,1,1,5,1,,,,,16.78406949993223,,,,16.77977658296004,16.78406949993223,17.77181741700042,17.77181741700042,17.77181741700042,17.77181741700042,17.776590958004817,18.772873999900185,18.772873999900185,,19.50895354198292,v,1,0.7225947079714388,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,6,2,1,c,0,0.7068359169643372,None,1,2,6,2,,,,,19.517389457905665,,,,19.50983187498059,19.517389457905665,20.50474124995526,20.50474124995526,20.50474124995526,20.50474124995526,20.508880499983206,21.504417041898705,21.504417041898705,,22.215432874974795,c,0,0.7068359169643372,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,7,3,1,z,1,0.5495734170544893,None,1,3,7,3,,,,,22.224852999905124,,,,22.21615179197397,22.224852999905124,23.214530041906983,23.214530041906983,23.214530041906983,23.214530041906983,23.220808124984615,24.213659874978475,24.213659874978475,,24.76732791692484,z,1,0.5495734170544893,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,8,0,2,x,1,0.4142868749331683,None,2,0,8,0,,,,,24.775721332989633,,,,24.768233249895275,24.775721332989633,25.763394041918218,25.763394041918218,25.763394041918218,25.763394041918218,25.767966541927308,26.763191499980167,26.763191499980167,,27.180638707941398,x,1,0.4142868749331683,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
