study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1.1140529531568228,1.8293631669948809,,,,,,,,,,,,0,0,0,0,,,,,0.020311459025833756,,0.009628375002648681,0.020311459025833756,0.020311459025833756,1.8451359170139767,1.1140529531568228,1.8293631669948809,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
cushion,1,1,0,1.9409368635437882,1.1847387500456534,,,,,,,,,,,,0,1,1,1,,,,,1.853552334010601,,1.8483560840249993,1.853552334010601,1.853552334010601,3.038927417015657,1.9409368635437882,1.1847387500456534,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
Laptop,2,2,0,2.1568228105906315,0.6626329169957899,,,,,,,,,,,,0,2,2,5,,,,,3.048438958998304,,3.042413791990839,3.048438958998304,3.048438958998304,3.7156006669974886,2.1568228105906315,0.6626329169957899,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
Police,3,3,0,2.4989816700610996,0.527299374982249,,,,,,,,,,,,0,3,3,12,,,,,3.7249419590225443,,3.7186125839943998,3.7249419590225443,3.7249419590225443,4.2554062500130385,2.4989816700610996,0.527299374982249,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
T-shirt,4,4,0,2.661914460285132,0.4305762909934856,,,,,,,,,,,,0,4,4,7,,,,,4.264713750046212,,4.259024208993651,4.264713750046212,4.264713750046212,4.695192834013142,2.661914460285132,0.4305762909934856,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
Poster,5,5,0,2.820773930753564,0.38429254200309515,,,,,,,,,,,,0,5,5,14,,,,,4.703414834046271,,4.69708408403676,4.703414834046271,4.703414834046271,5.086668167030439,2.820773930753564,0.38429254200309515,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
marble,6,6,0,2.2260692464358454,0.4194101250031963,,,,,,,,,,,,0,6,6,3,,,,,5.097911374992691,,5.08833133400185,5.097911374992691,5.097911374992691,5.512768959044479,2.2260692464358454,0.4194101250031963,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
Case,7,7,0,2.0142566191446027,0.31576762499753386,,,,,,,,,,,,0,7,7,10,,,,,5.519888417038601,,5.514303750009276,5.519888417038601,5.519888417038601,5.8359045420074835,2.0142566191446027,0.31576762499753386,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
Chart,8,8,0,1.875763747454175,0.24346212501404807,,,,,,,,,,,,0,8,8,6,,,,,5.846639833995141,,5.837527375028003,5.846639833995141,5.846639833995141,6.08636541699525,1.875763747454175,0.24346212501404807,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
Key,9,9,0,1.790224032586558,0.23333745799027383,,,,,,,,,,,,0,9,9,13,,,,,6.0956972920103,,6.089205167023465,6.0956972920103,6.0956972920103,6.328379125043284,1.790224032586558,0.23333745799027383,,,,,,,,,,,,,,,,001,001,2025-10-14_10h44.08.687,Tutorial 5,,2025.1.1,None,2025-10-14 10h44.21.191340 +0530,
