study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,text.stopped,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Pastry,0,0,0,2.246435845213849,3.256409541994799,,,,,,,,,,,,0,0,0,9,,,,,0.021033041994087398,,0.010544000018853694,0.021033041994087398,0.021033041994087398,3.276335459027905,2.246435845213849,3.256409541994799,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
Case,1,1,0,1.439918533604888,1.7496050000190735,,,,,,,,,,,,0,1,1,10,,,,,3.2841920839855447,,3.279022749979049,3.2841920839855447,3.2841920839855447,5.033867958991323,1.439918533604888,1.7496050000190735,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
T-shirt,2,2,0,1.2769857433808554,1.0734411249868572,,,,,,,,,,,,0,2,2,7,,,,,5.042261000024155,,5.037398708984256,5.042261000024155,5.042261000024155,6.116628292016685,1.2769857433808554,1.0734411249868572,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
phone,3,3,0,1,1.8559387910063379,,,,,,,,,,,,0,3,3,2,,,,,6.124661959009245,,6.119576958997641,6.124661959009245,6.124661959009245,7.984847875020932,1,1.8559387910063379,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
Laptop,4,4,0,2.246435845213849,1.800163124979008,,,,,,,,,,,,0,4,4,5,,,,,7.993567208992317,,7.987662792031188,7.993567208992317,7.993567208992317,9.792377459001727,2.246435845213849,1.800163124979008,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
board,5,5,0,2.824847250509165,4.735254957980942,,,,,,,,,,,,0,5,5,4,,,,,9.799095208989456,,9.794057124992833,9.799095208989456,9.799095208989456,14.535000125004444,2.824847250509165,4.735254957980942,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
Chart,6,6,0,2.3319755600814664,1.108002665976528,,,,,,,,,,,,0,6,6,6,,,,,14.541795124998316,,14.536813625018112,14.541795124998316,14.541795124998316,15.65038825001102,2.3319755600814664,1.108002665976528,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
Key,7,7,0,1.7494908350305498,3.1512159580015577,,,,,,,,,,,,0,7,7,13,,,,,15.659288500028197,,15.652833709027618,15.659288500028197,15.659288500028197,18.80891458399128,1.7494908350305498,3.1512159580015577,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
Poster,8,8,0,2.474541751527495,0.9496268330258317,,,,,,,,,,,,0,8,8,14,,,,,18.816558125021402,,18.810735292034224,18.816558125021402,18.816558125021402,19.76639783399878,2.474541751527495,0.9496268330258317,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
marble,9,9,0,3.0,1.0516193329822272,,,,,,,,,,,,0,9,9,3,,,,,19.776769625023007,,19.768033917003777,19.776769625023007,19.776769625023007,20.82494979200419,3.0,1.0516193329822272,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
cushion,10,10,0,4.09979633401222,1.951273749989923,,,,,,,,,,,,0,10,10,1,,,,,20.83269258402288,,20.826757375034504,20.83269258402288,20.83269258402288,22.78313433402218,4.09979633401222,1.951273749989923,,,,,,,,,,,,,,,,,003,001,2025-10-15_16h05.16.425,Tutorial 5,,2025.1.1,None,2025-10-15 16h05.23.034564 +0530,
