poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,probe.stopped,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.006539833033457398,0.006615292048081756,,,,,,,,,,,,,,,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,0,0,0,x,1,0.5057210420491174,None,0,0,0,0,,,,,0.016739208018407226,,,,0.012280958006158471,0.016739208018407226,1.0075872500892729,1.0075872500892729,1.0075872500892729,1.0075872500892729,1.011477000080049,1.9962942079873756,1.9962942079873756,2.681134083075449,x,1,0.5057210420491174,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,1,1,0,v,1,0.44147737498860806,None,0,1,1,1,,,,,2.6876467500114813,,,,2.681328208069317,2.6876467500114813,3.679742500069551,3.679742500069551,3.679742500069551,3.679742500069551,3.6849683329928666,4.674757042084821,4.674757042084821,5.1177787920460105,v,1,0.44147737498860806,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,2,2,0,c,0,0.5317363750655204,None,0,2,2,2,,,,,5.12512829201296,,,,5.118153125047684,5.12512829201296,6.1139487500768155,6.1139487500768155,6.1139487500768155,6.1139487500768155,6.11960450001061,7.120142208063044,7.120142208063044,7.653463958064094,c,0,0.5317363750655204,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,3,3,0,z,1,0.4582812499720603,None,0,3,3,3,,,,,7.659759875037707,,,,7.653916500043124,7.659759875037707,8.646603125031106,8.646603125031106,8.646603125031106,8.646603125031106,8.651412667008117,9.643576333066449,9.643576333066449,10.107374708051793,z,1,0.4582812499720603,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,4,0,1,x,1,0.3883427500259131,None,1,0,4,0,,,,,10.116413832991384,,,,10.108226750046015,10.116413832991384,11.103776750038378,11.103776750038378,11.103776750038378,11.103776750038378,11.109071750077419,12.10639629198704,12.10639629198704,12.5088243749924,x,1,0.3883427500259131,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,5,1,1,v,1,0.46236995910294354,None,1,1,5,1,,,,,12.517385291983373,,,,12.509673083084635,12.517385291983373,13.503392082988285,13.503392082988285,13.503392082988285,13.503392082988285,13.508903708076105,14.504363832995296,14.504363832995296,14.969453458092175,v,1,0.46236995910294354,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,6,2,1,c,0,0.5249008759856224,None,1,2,6,2,,,,,14.977641875040717,,,,14.970290833036415,14.977641875040717,15.963032208033837,15.963032208033837,15.963032208033837,15.963032208033837,15.967543083010241,16.968772417050786,16.968772417050786,17.497345375013538,c,0,0.5249008759856224,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,7,3,1,z,1,0.412120166933164,None,1,3,7,3,,,,,17.506267958087847,,,,17.49823600007221,17.506267958087847,18.49519904202316,18.49519904202316,18.49519904202316,18.49519904202316,18.49519904202316,19.486485375091434,19.486485375091434,19.90376500005368,z,1,0.412120166933164,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,8,0,2,x,1,0.4670671250205487,None,2,0,8,0,,,,,19.910007625003345,,,,19.90423887502402,19.910007625003345,20.90480237500742,20.90480237500742,20.90480237500742,20.90480237500742,20.90480237500742,21.903504958027042,21.903504958027042,22.38200870808214,x,1,0.4670671250205487,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,9,1,2,v,1,0.7094479170627892,None,2,1,9,1,,,,,22.389573791995645,,,,22.382424041978084,22.389573791995645,23.372955208062194,23.372955208062194,23.372955208062194,23.372955208062194,23.378328792052343,24.380029167048633,24.380029167048633,25.096410458092578,v,1,0.7094479170627892,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,10,2,2,c,0,0.4989534589694813,None,2,2,10,2,,,,,25.10360962501727,,,,25.096827500034124,25.10360962501727,26.09604112501256,26.09604112501256,26.09604112501256,26.09604112501256,26.100678583025,27.087277083075605,27.087277083075605,27.600136292050593,c,0,0.4989534589694813,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,11,3,2,x,0,0.43416345899458975,None,2,3,11,3,,,,,27.608415583032183,,,,27.60089591704309,27.608415583032183,28.59690025006421,28.59690025006421,28.59690025006421,28.59690025006421,28.603014416992664,29.59514950006269,29.59514950006269,30.031118542072363,x,0,0.43416345899458975,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,12,0,3,x,1,1.0187966669909656,None,3,0,12,0,,,,,30.039621583069675,,,,30.0316589580616,30.039621583069675,31.02107545803301,31.02107545803301,31.02107545803301,31.02107545803301,31.038772457977757,32.0275306670228,32.0275306670228,33.05853070807643,x,1,1.0187966669909656,None,33.02108400000725,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,13,1,3,v,1,0.5550020419759676,None,3,1,13,1,,,,,33.06842670799233,,,,33.05946650006808,33.06842670799233,34.05024162505288,34.05024162505288,34.05024162505288,34.05024162505288,34.06709154206328,35.05624558299314,35.05624558299314,35.613410375081,v,1,0.5550020419759676,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,14,2,3,c,0,1.0832606670446694,None,3,2,14,2,,,,,35.61682820809074,,,,35.61381250002887,35.61682820809074,36.61363745806739,36.61363745806739,36.61363745806739,36.61363745806739,36.61363745806739,37.60395633301232,37.60395633301232,38.696946750045754,c,0,1.0832606670446694,None,38.60202016704716,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,15,3,3,z,1,0.6115994589636102,None,3,3,15,3,,,,,38.70447375008371,,,,38.697512625018135,38.70447375008371,39.686314332997426,39.686314332997426,39.686314332997426,39.686314332997426,39.70360354206059,40.691553417011164,40.691553417011164,41.31641912506893,z,1,0.6115994589636102,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,16,0,4,x,1,0.4793434590101242,None,4,0,16,0,,,,,41.32475750008598,,,,41.317321542068385,41.32475750008598,42.312977458001114,42.312977458001114,42.312977458001114,42.312977458001114,42.31780791701749,43.30772899999283,43.30772899999283,43.79787629202474,x,1,0.4793434590101242,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,17,1,4,v,1,0.661487124976702,None,4,1,17,1,,,,,43.80625670799054,,,,43.798671500058845,43.80625670799054,44.796176250092685,44.796176250092685,44.796176250092685,44.796176250092685,44.796176250092685,45.79548758303281,45.79548758303281,46.462810125085525,v,1,0.661487124976702,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,18,2,4,c,0,0.5531605419237167,None,4,2,18,2,,,,,46.47020520805381,,,,46.46323766699061,46.47020520805381,47.453220042050816,47.453220042050816,47.453220042050816,47.453220042050816,47.45864229206927,48.44975966704078,48.44975966704078,49.013690417050384,c,0,0.5531605419237167,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,19,3,4,z,1,0.6426008340204135,None,4,3,19,3,,,,,49.02090670808684,,,,49.014242250006646,49.02090670808684,50.01141712500248,50.01141712500248,50.01141712500248,50.01141712500248,50.01141712500248,51.01225287502166,51.01225287502166,51.65888841706328,z,1,0.6426008340204135,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,20,0,5,x,1,0.5921893330523744,None,5,0,20,0,,,,,51.66646637499798,,,,51.65934504207689,51.66646637499798,52.6551745000761,52.6551745000761,52.6551745000761,52.6551745000761,52.660388833028264,53.655540207982995,53.655540207982995,54.25569245801307,x,1,0.5921893330523744,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
