study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,test.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
mouse,0,0,0,1,4.112659667036496,,,,,,,,,,,,0,0,0,8,,,,,0.01887770800385624,,0.009405124990735203,0.01887770800385624,0.01887770800385624,4.127929874986876,1,4.112659667036496,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
Cruise,1,1,0,1,0.4655250000068918,,,,,,,,,,,,0,1,1,11,,,,,4.136949957988691,,4.130745582981035,4.136949957988691,4.136949957988691,4.602050208020955,1,0.4655250000068918,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
Laptop,2,2,0,1,0.39166150003438815,,,,,,,,,,,,0,2,2,5,,,,,4.610932958021294,,4.605073207989335,4.610932958021294,4.610932958021294,5.002379124984145,1,0.39166150003438815,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
cushion,3,3,0,1,0.37438354099867865,,,,,,,,,,,,0,3,3,1,,,,,5.010775500035379,,5.004970250010956,5.010775500035379,5.010775500035379,5.384224458015524,1,0.37438354099867865,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
book,4,4,0,1,0.2657838749582879,,,,,,,,,,,,0,4,4,0,,,,,5.391670749988407,,5.385806332982611,5.391670749988407,5.391670749988407,5.662801666010637,1,0.2657838749582879,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
Police,5,5,0,1,0.21122766699409112,,,,,,,,,,,,0,5,5,12,,,,,5.670644833007827,,5.664989540993702,5.670644833007827,5.670644833007827,5.885482290992513,1,0.21122766699409112,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
T-shirt,6,6,0,1,0.2719852079753764,,,,,,,,,,,,0,6,6,7,,,,,5.893868750019465,,5.88817295798799,5.893868750019465,5.893868750019465,6.166256083000917,1,0.2719852079753764,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
Key,7,7,0,1,0.3820741670206189,,,,,,,,,,,,0,7,7,13,,,,,6.175508290994912,,6.168759333027992,6.175508290994912,6.175508290994912,6.56152716599172,1,0.3820741670206189,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
Chart,8,8,0,1,0.42122891603503376,,,,,,,,,,,,0,8,8,6,,,,,6.568797041021753,,6.563062875007745,6.568797041021753,6.568797041021753,6.993675915990025,1,0.42122891603503376,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
phone,9,9,0,1,0.3502077499870211,,,,,,,,,,,,0,9,9,2,,,,,6.999983582994901,,6.995316083019134,6.999983582994901,6.999983582994901,7.35037524998188,1,0.3502077499870211,,,,,,,,,,,,,,,004,001,2025-10-15_16h08.46.561,Tutorial 5,,2025.1.1,None,2025-10-15 16h08.53.343956 +0530,
