thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,up,1,1.417014166014269,None,0,0,0,0,0,0.012399458006257191,,0.008246042008977383,0.012399458006257191,1.0078482080134563,1.011710958002368,2.608460167015437,up,1,1.417014166014269,None,0,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
1,0,1,up,1,0.6476941670116503,None,0,1,0,1,0,2.6492361670243554,,2.6085911670234054,2.6492361670243554,3.604609250003705,3.646244833013043,4.255327292019501,up,1,0.6476941670116503,None,0,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
2,0,2,up,1,0.5283740409940947,None,3,2,0,2,0,4.278914374997839,,4.2558412500075065,4.278914374997839,5.253918250004062,5.276842958002817,5.790917625010479,up,1,0.5283740409940947,None,3,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
3,0,3,down,1,0.6128288749896456,None,1,3,0,3,0,5.800302042014664,,5.791629167011706,5.800302042014664,6.78237137501128,6.800760125013767,7.406187000015052,down,1,0.6128288749896456,None,1,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
4,0,4,down,1,0.6384639590105508,None,2,4,0,4,0,7.415889583004173,,7.4069368750206195,7.415889583004173,8.398713167000096,8.409389833017485,9.041696125001181,down,1,0.6384639590105508,None,2,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
5,0,5,down,1,0.6407273750228342,None,0,5,0,5,0,9.04972533302498,,9.042400792008266,9.04972533302498,10.044381708023138,10.044381708023138,10.696674208011245,down,1,0.6407273750228342,None,0,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
6,0,6,up,1,0.7835792499827221,None,0,6,0,6,0,10.705921250017127,,10.697242791997269,10.705921250017127,11.688493791996734,11.693253042001743,12.476548333012033,up,1,0.7835792499827221,None,0,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
7,0,7,up,1,0.5974063749890774,None,1,7,0,7,0,12.485178333008662,,12.4771830420068,12.485178333008662,13.466619708022336,13.48343120800564,14.06663645801018,up,1,0.5974063749890774,None,1,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
8,0,8,up,0,0.8581211249984335,None,0,8,0,8,0,14.074544542003423,,14.067324917006772,14.074544542003423,15.05997525001294,15.072242082998855,15.924823792011011,up,0,0.8581211249984335,None,0,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
9,0,9,up,1,0.6503087090095505,None,-3,9,0,9,0,15.934244375006529,,15.925555833004182,15.934244375006529,16.91663270801655,16.929320125025697,17.580950083007338,up,1,0.6503087090095505,None,-3,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
10,0,10,down,1,0.5789579589909408,None,-4,10,0,10,0,17.590381417016033,,17.58173870801693,17.590381417016033,18.569989167008316,18.587749625003198,19.164042333024554,down,1,0.5789579589909408,None,-4,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
11,0,11,down,1,0.5274782080086879,None,-5,11,0,11,0,19.173474458017154,,19.16477370800567,19.173474458017154,20.162421042012284,20.16785887500737,20.699773958011065,down,1,0.5274782080086879,None,-5,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
12,0,12,down,1,1.2999201249913312,None,0,12,0,12,0,20.708832333009923,,20.700495292025153,20.708832333009923,21.70091295801103,21.70091295801103,23.01239733301918,down,1,1.2999201249913312,None,0,02,001,2025-09-09_09h40.40.966,Signal detection,,2025.1.1,None,2025-09-09 09h40.47.816225 +0530,
