word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.002990833017975092,0.0068652500049211085,1.0011474580387585,,,,,,,,,,,,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
RED,red,C,r,0,0,0,b,0,10.70311987499008,None,0,0,0,0,1.030515208025463,,,,,1.0225851249997504,1.030515208025463,1.495117625046987,1.495117625046987,1.495117625046987,5.987764958001208,12.373808792035561,b,0,10.70311987499008,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
RED,blue,I,b,1,1,0,r,0,1.0691359160118736,None,0,1,1,1,12.380982917034999,,,,,12.374095750041306,12.380982917034999,12.864479000039864,12.864479000039864,12.864479000039864,,13.935992625018116,r,0,1.0691359160118736,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
BLUE,red,I,r,2,2,0,b,0,0.9138882919796742,None,0,2,2,2,13.953504042001441,,,,,13.94542291702237,13.953504042001441,14.4307678330224,14.4307678330224,14.4307678330224,,15.353724708023947,b,0,0.9138882919796742,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.715272666013334,None,0,3,3,3,15.36479458300164,,,,,15.35505816701334,15.36479458300164,15.847320708038751,15.847320708038751,15.847320708038751,,16.565465249994304,b,1,0.715272666013334,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
RED,red,C,r,4,0,1,r,1,1.3594837490236387,None,1,0,4,0,16.585869792033918,,,,,16.570462625008076,16.585869792033918,17.057081917009782,17.057081917009782,17.057081917009782,,18.4269836670137,r,1,1.3594837490236387,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
RED,blue,I,b,5,1,1,b,1,1.7755781239829957,None,1,1,5,1,18.439061417011544,,,,,18.428450792038348,18.439061417011544,18.923855292028747,18.923855292028747,18.923855292028747,,20.701499917020556,b,1,1.7755781239829957,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
BLUE,red,I,r,6,2,1,b,0,3.6681225409847684,None,1,2,6,2,20.715561167045962,,,,,20.706456417043228,20.715561167045962,21.19536633300595,21.19536633300595,21.19536633300595,,24.86796762503218,b,0,3.6681225409847684,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
BLUE,blue,C,b,7,3,1,b,1,78.57922504201997,None,1,3,7,3,24.878907625039574,,,,,24.86913624999579,24.878907625039574,25.36370808299398,25.36370808299398,25.36370808299398,29.86449991702102,103.94630570802838,b,1,78.57922504201997,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
RED,red,C,r,8,0,2,r,1,1.670853998977691,None,2,0,8,0,103.95625112502603,,,,,103.94964200002141,103.95625112502603,104.44106258300599,104.44106258300599,104.44106258300599,,106.11637362500187,r,1,1.670853998977691,None,,,,,03,001,2025-08-26_10h36.25.418,Stroop_Task,,2025.1.1,None,2025-08-26 10h36.33.533196 +0530,
