stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,2,10.0,0.004929040995193645,,0.0022955000022193417,0.004929040995193645,0.5028270409966353,0.5028270409966353,0.5114320830034558,0.7894344160013134,1.4316636659932556,right,10.0,1,1,0.7458845420042053,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
1,2,8.0,1.4410243329912191,,1.4317728329915553,1.4410243329912191,1.928486165998038,1.928486165998038,1.9364596660016105,2.215599957999075,2.4055919160018675,right,8.0,1,1,0.4677473329938948,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
2,2,6.0,2.4233159159921343,,2.4061668749927776,2.4233159159921343,2.903298374993028,2.903298374993028,2.9199393750022864,3.2031830409978284,3.5725826249981765,right,6.0,1,1,0.6589101669960655,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
3,2,4.0,3.581535374993109,,3.573062583003775,3.581535374993109,4.067047707998427,4.067047707998427,4.072963457991136,4.369956082999124,4.700811791000888,right,4.0,1,1,0.6300873750005849,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
4,2,2.0,4.710749791003764,,4.701308582996717,4.710749791003764,5.203431250003632,5.203431250003632,5.203431250003632,5.503140749991871,5.697309041002882,right,2.0,1,1,0.4837109589861939,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
5,2,1.0,5.707213000001502,,5.697765416000038,5.707213000001502,6.190381708001951,6.190381708001951,6.203472957990016,6.486571457993705,6.905707750003785,right,1.0,1,1,0.7117647919949377,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
6,2,1.0,6.9146641659899615,,6.906266791003873,6.9146641659899615,7.400061958003789,7.400061958003789,7.406652040997869,7.695218540990027,8.20607287499297,right,1.0,1,1,0.8030133340071188,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
7,2,1.0,8.215220790996682,,8.206687290992704,8.215220790996682,8.70302937499946,8.70302937499946,8.705522624994046,9.003175791003741,9.383901875000447,right,1.0,1,1,0.6770667090022471,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
8,2,1.0,9.39415399999416,,9.3843584159913,9.39415399999416,9.873347165994346,9.873347165994346,9.89485916600097,10.16982683299284,10.364595708000707,right,1.0,1,1,0.4827193340024678,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
9,2,1.0,10.373663249993115,,10.365147958000307,10.373663249993115,10.860828832999687,10.860828832999687,10.86354391599889,11.161505290991045,11.78095858299639,right,1.0,1,1,0.9071688760013785,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
10,2,1.0,11.790246582997497,,11.781462124999962,11.790246582997497,12.278345832994091,12.278345832994091,12.286535124992952,12.569864040997345,12.839612832991406,right,1.0,1,1,0.5515624580002623,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
