reward_today,future_reward,delay
11,30,7
15,35,13
27,50,21
40,55,62
49,60,89
67,75,119
78,80,162
87,113,72
79,96,35
76,105,26
63,78,76
55,74,67
60,75,21
97,110,68
86,93,60
91,120,11
65,74,5
55,78,85
51,66,88
66,79,36
96,103,24
87,109,22
50,61,31
73,93,62
76,83,44
79,103,34
80,98,10
70,86,60
70,82,70
59,70,77
58,80,85
82,87,61
73,88,16
74,99,23
97,115,46
69,78,20
53,78,28
73,85,67
97,104,26
76,90,15
73,100,34
56,62,25
65,83,75
51,64,35
51,75,14
76,84,68
50,70,53
69,87,51
98,117,34
69,74,58
62,89,35
50,74,16
82,93,69
51,76,61
58,80,88
75,97,50
91,105,81
95,106,76
93,105,54
52,69,44
82,98,41
50,55,46
70,96,69
98,103,70
52,81,36
66,79,41
93,101,7
70,87,79
92,105,87
73,80,67
89,115,79
93,105,81
73,88,25
81,89,11
67,95,55
63,89,57
71,98,5
54,69,27
65,87,8
92,118,8
58,79,76
72,82,18
93,102,31
75,90,47
84,111,49
53,75,13
92,110,37
78,96,2
78,89,25
77,94,83
53,69,12
98,117,12
81,95,31
95,102,53
98,115,36
56,80,56
67,75,27
54,61,66
61,85,43
84,91,5
